Variable,N,Mean,Median,Std,Min,Max,Skewness,Kurtosis,CV%,IQR,P25,P75
has_social_security,50000,0.44664,0.0,0.4971495283645264,0.0,1.0,0.21467237296161185,-1.9539939336444707,111.30877851614866,1.0,0.0,1.0
is_migrant,50000,0.3978,0.0,0.48944861957004643,0.0,1.0,0.4176294878645574,-1.8256586388116307,123.03886867019769,1.0,0.0,1.0
injury_flag,50000,0.2551,0.0,0.4359217711422671,0.0,1.0,1.1236410411441784,-0.7374603106689088,170.88270134937952,1.0,0.0,1.0
has_secondary_income,50000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
vehicle_owned,50000,0.33486,0.0,0.4719462205216833,0.0,1.0,0.6998534946701499,-1.510265498217988,140.9383684290997,1.0,0.0,1.0
housing_stability,50000,3.167,3.0,1.5096213363395412,0.0,6.0,0.377508601876568,-0.5396512453914837,47.667235122814695,2.0,2.0,4.0
social_security_score,50000,1.15686,0.0,1.593055459459569,0.0,5.0,1.115122330288771,-0.20300827004928257,137.7051207111983,2.0,0.0,2.0
union_score,50000,1.35184,1.0,1.3373871490663163,0.0,5.0,1.5173525522712838,1.3669835393097984,98.93087562628095,0.0,1.0,1.0
income_to_fuel_ratio,50000,1220.7567710242251,2.4524598238561444,4862.179845122475,0.2055498458376156,59378.0,5.130786235416132,31.07015936861677,398.2922692325569,4.338696883068041,0.9528158319273193,5.29151271499536
net_income_per_order,50000,28.95968884226869,16.666666666666668,40.256049788538135,1.6022222222222222,833.4333333333333,5.390852264906631,52.94875158400248,139.00719033203706,28.03166563828328,7.053008021390374,35.084673659673655
emi_burden_ratio,50000,0.09461651115451485,0.0,0.18029353474806,0.0,1.301111111111111,2.347631148064202,5.821657005132348,190.55187360864434,0.13298011821811614,0.0,0.13298011821811614
savings_rate,50000,0.39548113553432174,0.37437865631168277,0.2039600111708797,0.0399109556368262,0.8764669549104386,0.15849901018320198,-0.9749040732286369,51.57262707241799,0.32335739545827313,0.23219816009728245,0.5555555555555556
expense_ratio,50000,0.3990331778227204,0.30895234457226783,0.3405271784451509,1.6129032258064517e-05,2.8017777777777777,1.6392191238659422,3.5679836480433056,85.33806143719656,0.3733868316519246,0.1673597940722183,0.5407466257241429
work_intensity_score,50000,20.899611142857143,19.65714285714285,10.19014241655414,1.1428571428571428,82.98571428571428,0.7563034934151038,0.6544081162845035,48.75756944423736,13.714285714285714,13.285714285714286,27.0
productivity_per_hour,50000,1.8630302794701985,1.7045454545454544,0.9688137869477099,0.1438848920863309,9.75,1.2612250795319906,3.0079884927263882,52.00204192189606,1.1711229946524062,1.181818181818182,2.3529411764705883
commitment_score,50000,3.92349097,3.9196,0.3623180094147378,2.385,5.0,0.00967939961554627,-0.10701712179829492,9.234582472219575,0.49519999999999964,3.676,4.1712
financial_inclusion_index,50000,0.6769466666666666,0.6666666666666666,0.2735816690673995,0.0,1.0,-0.6107232183362038,-0.0806409466559197,40.414065470553986,0.33333333333333337,0.6666666666666666,1.0
digital_readiness,50000,1.70294,1.5,0.6593209009890477,0.5,3.0,-0.2717597319915767,-0.43922134511969935,38.71662542362313,0.5,1.5,2.0
trust_raw,50000,0.7039369183333332,0.7121666666666667,0.10079840599518822,0.3604666666666666,0.9700666666666666,-0.6897093021546086,0.3874650981849772,14.319238467253886,0.12219999999999998,0.655,0.7772
is_high_trust,50000,0.7643,1.0,0.4244397636676607,0.0,1.0,-1.2454562227579316,-0.4488567530637151,55.533136682933495,0.0,1.0,1.0
